ticker,company_name,exchange,sector,industry,active,quote_provider_symbol,history_provider_symbol,asset_type,source,source_effective_date,verified_at
GOOGL,ALPHABET INC CLASS A,NASDAQ,Communication,,true,GOOGL,GOOGL,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
GS,GOLDMAN SACHS GROUP INC,NYSE,Financials,,true,GS,GS,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
HD,HOME DEPOT INC,NYSE,Consumer Discretionary,,true,HD,HD,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
HONA,HONEYWELL AEROSPACE INC,NASDAQ,Industrials,,true,HONA,HONA,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
IBM,INTERNATIONAL BUSINESS MACHINES CO,NYSE,Information Technology,,true,IBM,IBM,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
INTC,INTEL CORPORATION,NASDAQ,Information Technology,,true,INTC,INTC,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
INTU,INTUIT INC,NASDAQ,Information Technology,,true,INTU,INTU,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
ISRG,INTUITIVE SURGICAL INC,NASDAQ,Health Care,,true,ISRG,ISRG,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
JNJ,JOHNSON & JOHNSON,NYSE,Health Care,,true,JNJ,JNJ,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
JPM,JPMORGAN CHASE & CO,NYSE,Financials,,true,JPM,JPM,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
KO,COCA-COLA,NYSE,Consumer Staples,,true,KO,KO,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
LIN,LINDE PLC,NASDAQ,Materials,,true,LIN,LIN,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
LLY,ELI LILLY,NYSE,Health Care,,true,LLY,LLY,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
LMT,LOCKHEED MARTIN CORP,NYSE,Industrials,,true,LMT,LMT,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
LOW,LOWES COMPANIES INC,NYSE,Consumer Discretionary,,true,LOW,LOW,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
LRCX,LAM RESEARCH CORP,NASDAQ,Information Technology,,true,LRCX,LRCX,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MA,MASTERCARD INC CLASS A,NYSE,Financials,,true,MA,MA,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MCD,MCDONALDS CORP,NYSE,Consumer Discretionary,,true,MCD,MCD,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,NASDAQ,Consumer Staples,,true,MDLZ,MDLZ,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MDT,MEDTRONIC PLC,NYSE,Health Care,,true,MDT,MDT,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
META,META PLATFORMS INC CLASS A,NASDAQ,Communication,,true,META,META,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MMM,3M,NYSE,Industrials,,true,MMM,MMM,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MO,ALTRIA GROUP INC,NYSE,Consumer Staples,,true,MO,MO,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MRK,MERCK & CO INC,NYSE,Health Care,,true,MRK,MRK,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MS,MORGAN STANLEY,NYSE,Financials,,true,MS,MS,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MSFT,MICROSOFT CORP,NASDAQ,Information Technology,,true,MSFT,MSFT,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
MU,MICRON TECHNOLOGY INC,NASDAQ,Information Technology,,true,MU,MU,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
NEE,NEXTERA ENERGY INC,NYSE,Utilities,,true,NEE,NEE,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
NFLX,NETFLIX INC,NASDAQ,Communication,,true,NFLX,NFLX,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
NKE,NIKE INC CLASS B,NYSE,Consumer Discretionary,,true,NKE,NKE,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
NOW,SERVICENOW INC,NYSE,Information Technology,,true,NOW,NOW,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
NVDA,NVIDIA CORP,NASDAQ,Information Technology,,true,NVDA,NVDA,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
ORCL,ORACLE CORP,NYSE,Information Technology,,true,ORCL,ORCL,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
PEP,PEPSICO INC,NASDAQ,Consumer Staples,,true,PEP,PEP,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
PFE,PFIZER INC,NYSE,Health Care,,true,PFE,PFE,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
PG,PROCTER & GAMBLE,NYSE,Consumer Staples,,true,PG,PG,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,NASDAQ,Information Technology,,true,PLTR,PLTR,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
PM,PHILIP MORRIS INTERNATIONAL INC,NYSE,Consumer Staples,,true,PM,PM,equity,BlackRock iShares OEF fund-holdings export,2026-07-16,2026-07-18
